time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
110,129024,63,1172,310,-0.0027677722042426466,0.009632148686796427,300.0,0.09853515625,0.3674466907978058,0.0002,228.84682858999997,0.2,-0.004395490512251854,0.5425512790679932,0.009018846,-25.894573879241943
111,131072,64,1175,315,-0.005606962973251939,0.006682840315625072,300.0,0.0376953125,0.3674715757369995,0.0002,229.75526833,0.2,-0.011019516736268997,0.49036604166030884,0.0062139537,-25.897999572753907
112,133120,65,1178,320,-0.0037175953853875398,0.006409818679094315,300.0,0.05146484375,0.3674620985984802,0.0002,229.15725684,0.2,-0.0033612078987061977,0.4704000949859619,0.0031791911,-25.900151538848878
114,135168,66,1180,325,-0.0033060208428651095,0.007703025476075709,300.0,0.04677734375,0.3675301969051361,0.0002,229.23481363999997,0.2,-0.005359445698559284,0.544842004776001,0.0068592452,-25.903060722351075
115,137216,67,1183,330,-0.0037919672089628876,0.0069790591020137075,300.0,0.0287109375,0.36741411685943604,0.0002,229.03105299000003,0.2,0.003396660555154085,0.5961159467697144,0.00487293,-25.904036712646484
117,139264,68,1186,335,-0.003937313740607351,0.00509462933987379,300.0,0.03251953125,0.36725229024887085,0.0002,230.44498489,0.2,-0.005776596255600452,0.5405899286270142,0.0050499244,-25.874995136260985
118,141312,69,1188,340,-0.002889890596270561,0.003922735922969878,300.0,0.0609375,0.3671756088733673,0.0002,230.44498489,0.2,-0.010271971113979816,0.26161032915115356,0.0050160363,-25.85498962402344
120,143360,70,1191,345,-0.0028793976991437374,0.004390863853041082,300.0,0.0212890625,0.3671279549598694,0.0002,229.91150166999995,0.2,0.004184090066701174,0.42513507604599,0.0052357195,-25.845092010498046
121,145408,71,1193,350,-0.004144936252851039,0.005883808364160359,300.0,0.033984375,0.36713045835494995,0.0002,230.02338770000003,0.2,-0.003102439921349287,0.5878094434738159,0.0051409043,-25.840369987487794
123,147456,72,1196,355,-0.003054784541018307,0.006466427817940712,300.0,0.030078125,0.3671742081642151,0.0002,230.77221681000003,0.2,-0.0002012047916650772,0.5858945846557617,0.005522741,-25.84514150619507
124,149504,73,1198,360,-0.0027427005814388396,0.00867708136793226,300.0,0.03291015625,0.3672631084918976,0.0002,230.75160964999998,0.2,-0.0010804207995533943,0.5042864084243774,0.003595356,-25.85399627685547
126,151552,74,1200,365,-0.002216721809236333,0.005384917696937918,300.0,0.0541015625,0.3672841787338257,0.0002,231.40173489999998,0.2,-0.0042688800022006035,0.48682814836502075,0.009023167,-25.866402339935302
127,153600,75,1202,370,-0.0027932699071243406,0.004746778565458953,300.0,0.03271484375,0.3673991858959198,0.0002,231.1009164,0.2,-0.003606177866458893,0.599140465259552,0.004587074,-25.872782611846922
129,155648,76,1204,375,-0.004365241108462215,0.007311363890767098,300.0,0.03544921875,0.36744144558906555,0.0002,231.1009164,0.2,-0.0060767317190766335,0.5129411220550537,0.0052260333,-25.891628551483155
130,157696,77,1207,380,-0.0034283589106053115,0.006153335538692772,300.0,0.01826171875,0.3673248589038849,0.0002,232.22469399,0.2,-0.0024364558048546314,0.5127639770507812,0.0035569943,-25.883812522888185
132,159744,78,1208,385,-0.005363366310484707,0.005981884244829416,300.0,0.046875,0.3673391044139862,0.0002,232.41895329000002,0.2,-0.009493754245340824,0.6281542778015137,0.007042841,-25.87192258834839
