time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/loss,train/explained_variance,train/clip_fraction
137216,3849,67,35,0.15472441259771585,231.0570893,0.017387240193784237,0.2,0.8932729,0.3678422272205353,0.0002,-25.96781635284424,66,300.0,0.3177911937236786,-0.007327556610107422,0.4599609375
139264,3845,68,36,0.2287292182445526,232.25984995,0.013946013525128365,0.2,1.8894596,0.3678435683250427,0.0002,-25.9679536819458,67,300.0,0.4637795090675354,-0.0814361572265625,0.4765625
141312,3843,69,36,0.14101095194928348,232.25984995,0.019402089528739452,0.2,0.8388657,0.36784636974334717,0.0002,-25.968303680419922,68,300.0,0.29016146063804626,-0.7251336574554443,0.4482421875
143360,3844,70,37,0.11573981586843729,231.45218625999993,0.017120678443461657,0.2,0.6006327,0.3678486943244934,0.0002,-25.968734741210938,69,300.0,0.23925639688968658,-0.5855859518051147,0.37109375
145408,3848,71,37,0.05759323947131634,231.30905887,0.022947315126657486,0.2,0.28439125,0.3678513765335083,0.0002,-25.969158172607422,70,300.0,0.12576940655708313,-0.14351391792297363,0.3857421875
147456,3847,72,38,0.11520309187471867,231.77928393999994,0.02405914943665266,0.2,0.24073789,0.3678547739982605,0.0002,-25.96966552734375,71,300.0,0.24218858778476715,-0.3612995147705078,0.3984375
149504,3847,73,38,0.04887761315330863,231.68667361999997,0.02315602172166109,0.2,0.080615774,0.36785686016082764,0.0002,-25.970126152038574,72,300.0,0.10933268815279007,-0.2564432621002197,0.3310546875
151552,3851,74,39,0.03341861814260483,232.06977877999998,0.015822469256818295,0.2,0.07077329,0.36785802245140076,0.0002,-25.9704008102417,73,300.0,0.07506442070007324,-0.1863088607788086,0.3232421875
153600,3850,75,39,0.09827559441328049,231.80357403,0.022129926830530167,0.2,0.150294,0.3678595721721649,0.0002,-25.970624923706055,74,300.0,0.2071799784898758,-0.32158195972442627,0.3720703125
155648,3850,76,40,0.04777309391647577,231.80357403,0.027286711148917675,0.2,0.15521821,0.3678595721721649,0.0002,-25.970754623413086,75,300.0,0.10751793533563614,-0.21485555171966553,0.3642578125
157696,3853,77,40,0.08328782208263874,232.91461144999997,0.025638021528720856,0.2,0.2076916,0.3678606450557709,0.0002,-25.970840454101562,76,300.0,0.1805904507637024,-0.1937328577041626,0.375
159744,3854,78,41,0.21506122313439846,232.95373429,0.024600928649306297,0.2,0.26279396,0.3678613603115082,0.0002,-25.970982551574707,77,300.0,0.44200605154037476,0.05576002597808838,0.3173828125
161792,3853,79,41,0.12231895606964827,232.04067221999998,0.02883628848940134,0.2,0.5814185,0.3678617477416992,0.0002,-25.971074104309082,78,300.0,0.2593594193458557,-0.3214762210845947,0.4384765625
163840,3854,80,42,0.04827517783269286,232.39008498999996,0.031177924945950508,0.2,0.21685316,0.3678613603115082,0.0002,-25.971074104309082,79,300.0,0.11308597028255463,0.056388795375823975,0.3408203125
165888,3857,81,43,0.08110848627984524,231.46144565000003,0.02478025760501623,0.2,0.13405393,0.36786091327667236,0.0002,-25.97100830078125,80,300.0,0.1742015928030014,0.2023005485534668,0.3310546875
167936,3857,82,43,0.15345967561006546,231.46144565000003,0.03295002318918705,0.2,0.3483664,0.36786097288131714,0.0002,-25.970975875854492,81,300.0,0.32285448908805847,-0.27583014965057373,0.3740234375
