time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance
241664,118,221,1089,-0.0038730036467313766,0.2,585,228.80686025,-25.568636226654053,0.01220703125,0.006512005277909338,0.36550965905189514,300.0,0.0026870056,-0.003003251925110817,0.0002,0.6521749496459961
243712,119,223,1088,-0.005143204238265753,0.2,590,228.79881523,-25.557338428497314,0.06708984375,0.005742940912023186,0.3654261529445648,300.0,0.0065542934,-0.0043461419409140944,0.0002,0.56427001953125
245760,120,226,1087,-0.008095718920230865,0.2,595,228.18414203,-25.545545768737792,0.04365234375,0.006940272892825306,0.36539337038993835,300.0,0.0058668433,-0.001755076425615698,0.0002,0.5600614547729492
247808,121,227,1087,-0.005139711778610945,0.2,600,227.53937199,-25.54591703414917,0.03857421875,0.006006426946260035,0.36543115973472595,300.0,0.0066242265,-0.0028379477094858884,0.0002,0.5415675640106201
249856,122,229,1088,-0.010992052964866161,0.2,605,227.57573401000002,-25.548072338104248,0.0564453125,0.0060283595230430365,0.36538898944854736,300.0,0.0060782875,-0.0026042805518954994,0.0002,0.5508226156234741
251904,123,231,1088,-0.00618401076644659,0.2,610,227.57573401000002,-25.536438846588133,0.13525390625,0.005056514986790717,0.3653198480606079,300.0,0.0112006,-0.0032304404769092796,0.0002,0.529781699180603
253952,124,233,1088,-0.006106263492256403,0.2,615,227.65551832999998,-25.528758335113526,0.05654296875,0.005483052530325949,0.36530056595802307,300.0,0.004756135,-0.002485596970655024,0.0002,0.5775914192199707
256000,125,235,1089,0.0013289866037666798,0.2,620,227.86209834,-25.524712467193602,0.0896484375,0.007527368678711355,0.3652673363685608,300.0,0.01247186,-0.0036568626877851785,0.0002,0.5386768579483032
258048,126,237,1088,-0.006873533129692078,0.2,625,227.83155553999998,-25.5224570274353,0.11220703125,0.006275514606386423,0.365284264087677,300.0,0.0070419507,-0.003420903068035841,0.0002,0.5473718047142029
260096,127,239,1086,-0.008343704044818878,0.2,630,226.48418297,-25.526812934875487,0.0498046875,0.008203176036477088,0.3653220236301422,300.0,0.0045227096,-0.0028266111854463815,0.0002,0.5830775499343872
262144,128,241,1083,-0.00723362248390913,0.2,635,225.59145429,-25.53195152282715,0.0595703125,0.011755290441215038,0.36533263325691223,300.0,0.009893902,-0.00452503846026957,0.0002,0.5964404344558716
264192,129,243,1083,-0.007753546349704266,0.2,640,225.60259799,-25.529115772247316,0.1205078125,0.009239468770101667,0.3652985095977783,300.0,0.008042319,-0.005619999067857861,0.0002,0.5465579032897949
266240,130,245,1082,-0.009092114865779877,0.2,645,225.60259799,-25.52496204376221,0.0685546875,0.005988366669043899,0.3652971684932709,300.0,0.010959023,-0.006057458929717541,0.0002,0.5803074836730957
